Concept_ID,Concept,Sentence_Nr,Sentence_Screen,Concept_Word,Word_Start,Word_End,Screen_Img,Noise_Img
1,Seafood,1,Shrimp is a kind of seafood.,seafood,20,27,stimuli/sentence_images/seafood/sentence1.jpg,stimuli/noise_images/seafood/noise1.jpg
1,Seafood,2,She ordered scallops at the seafood restaurant.,seafood,28,35,stimuli/sentence_images/seafood/sentence2.jpg,stimuli/noise_images/seafood/noise2.jpg
1,Seafood,3,Tempura is one popular way to prepare seafood.,seafood,38,45,stimuli/sentence_images/seafood/sentence3.jpg,stimuli/noise_images/seafood/noise3.jpg
1,Seafood,4,He is happy to see flounder in the seafood section.,seafood,35,42,stimuli/sentence_images/seafood/sentence4.jpg,stimuli/noise_images/seafood/noise4.jpg
1,Seafood,5,Caviar is a gourmet kind of seafood.,seafood,28,35,stimuli/sentence_images/seafood/sentence5.jpg,stimuli/noise_images/seafood/noise5.jpg
1,Seafood,6,Chowder is made with different kinds of seafood.,seafood,40,47,stimuli/sentence_images/seafood/sentence6.jpg,stimuli/noise_images/seafood/noise6.jpg
2,Bird,1,The bird flew around the cage.,bird,4,8,stimuli/sentence_images/bird/sentence1.jpg,stimuli/noise_images/bird/noise1.jpg
2,Bird,2,The nest was just big enough for the bird.,bird,37,41,stimuli/sentence_images/bird/sentence2.jpg,stimuli/noise_images/bird/noise2.jpg
2,Bird,3,The only bird she can see is the parrot.,bird,9,13,stimuli/sentence_images/bird/sentence3.jpg,stimuli/noise_images/bird/noise3.jpg
2,Bird,4,The bird poked its head out of the hatch.,bird,4,8,stimuli/sentence_images/bird/sentence4.jpg,stimuli/noise_images/bird/noise4.jpg
2,Bird,5,The bird holds the worm in its beak.,bird,4,8,stimuli/sentence_images/bird/sentence5.jpg,stimuli/noise_images/bird/noise5.jpg
2,Bird,6,The bird preened itself for mating.,bird,4,8,stimuli/sentence_images/bird/sentence6.jpg,stimuli/noise_images/bird/noise6.jpg
3,Beat,1,The beat of the music was soulful.,beat,4,8,stimuli/sentence_images/beat/sentence1.jpg,stimuli/noise_images/beat/noise1.jpg
3,Beat,2,The song had a catchy beat.,beat,22,26,stimuli/sentence_images/beat/sentence2.jpg,stimuli/noise_images/beat/noise2.jpg
3,Beat,3,She tapped her foot to the rhythmic beat.,beat,36,40,stimuli/sentence_images/beat/sentence3.jpg,stimuli/noise_images/beat/noise3.jpg
3,Beat,4,He thought that the beat had a good vibe.,beat,20,24,stimuli/sentence_images/beat/sentence4.jpg,stimuli/noise_images/beat/noise4.jpg
3,Beat,5,People thrashed their heads to the beat.,beat,35,39,stimuli/sentence_images/beat/sentence5.jpg,stimuli/noise_images/beat/noise5.jpg
3,Beat,6,She can strum the beat on her guitar.,beat,18,22,stimuli/sentence_images/beat/sentence6.jpg,stimuli/noise_images/beat/noise6.jpg
4,Vacation,1,The vacation started with a perfect sunset.,vacation,4,12,stimuli/sentence_images/vacation/sentence1.jpg,stimuli/noise_images/vacation/noise1.jpg
4,Vacation,2,She can relax the rest of her vacation.,vacation,30,38,stimuli/sentence_images/vacation/sentence2.jpg,stimuli/noise_images/vacation/noise2.jpg
4,Vacation,3,There's nothing like vacation in paradise.,vacation,21,29,stimuli/sentence_images/vacation/sentence3.jpg,stimuli/noise_images/vacation/noise3.jpg
4,Vacation,4,The vacation in Hawaii was a luxury.,vacation,4,12,stimuli/sentence_images/vacation/sentence4.jpg,stimuli/noise_images/vacation/noise4.jpg
4,Vacation,5,The vacation is a hideaway from home.,vacation,4,12,stimuli/sentence_images/vacation/sentence5.jpg,stimuli/noise_images/vacation/noise5.jpg
4,Vacation,6,Their honeymoon was a vacation in France.,vacation,22,30,stimuli/sentence_images/vacation/sentence6.jpg,stimuli/noise_images/vacation/noise6.jpg
5,Bar,1,The bar looked like an ancient tavern.,bar,4,7,stimuli/sentence_images/bar/sentence1.jpg,stimuli/noise_images/bar/noise1.jpg
5,Bar,2,Cowboys go to saloons instead of bars.,bars,33,37,stimuli/sentence_images/bar/sentence2.jpg,stimuli/noise_images/bar/noise2.jpg
5,Bar,3,He learned quickly that bars don't cater.,bars,24,28,stimuli/sentence_images/bar/sentence3.jpg,stimuli/noise_images/bar/noise3.jpg
5,Bar,4,That bar was their new favorite venue.,bar,5,8,stimuli/sentence_images/bar/sentence4.jpg,stimuli/noise_images/bar/noise4.jpg
5,Bar,5,The popular nightclub has added a bar.,bar,34,37,stimuli/sentence_images/bar/sentence5.jpg,stimuli/noise_images/bar/noise5.jpg
5,Bar,6,The bar had an urban feel to it.,bar,4,7,stimuli/sentence_images/bar/sentence6.jpg,stimuli/noise_images/bar/noise6.jpg
6,Taste,1,She says the hot chocolate had a rich taste.,taste,38,43,stimuli/sentence_images/taste/sentence1.jpg,stimuli/noise_images/taste/noise1.jpg
6,Taste,2,The spicy taste lingered in her mouth.,taste,10,15,stimuli/sentence_images/taste/sentence2.jpg,stimuli/noise_images/taste/noise2.jpg
6,Taste,3,The margarita has a zing to its taste.,taste,32,37,stimuli/sentence_images/taste/sentence3.jpg,stimuli/noise_images/taste/noise3.jpg
6,Taste,4,Her delicate palate reacted strongly to the taste.,taste,44,49,stimuli/sentence_images/taste/sentence4.jpg,stimuli/noise_images/taste/noise4.jpg
6,Taste,5,The distinctive taste of the cereal is gross.,taste,16,21,stimuli/sentence_images/taste/sentence5.jpg,stimuli/noise_images/taste/noise5.jpg
6,Taste,6,She enjoyed the mousse's aroma and taste.,taste,35,40,stimuli/sentence_images/taste/sentence6.jpg,stimuli/noise_images/taste/noise6.jpg
7,Useless,1,Useless help desks are frustrating.,Useless,0,7,stimuli/sentence_images/useless/sentence1.jpg,stimuli/noise_images/useless/noise1.jpg
7,Useless,2,The useless task was just busywork.,useless,4,11,stimuli/sentence_images/useless/sentence2.jpg,stimuli/noise_images/useless/noise2.jpg
7,Useless,3,The presentation is useless and irritating.,useless,20,27,stimuli/sentence_images/useless/sentence3.jpg,stimuli/noise_images/useless/noise3.jpg
7,Useless,4,The trip was agonizing and quite useless.,useless,33,40,stimuli/sentence_images/useless/sentence4.jpg,stimuli/noise_images/useless/noise4.jpg
7,Useless,5,The grueling process is just useless.,useless,29,36,stimuli/sentence_images/useless/sentence5.jpg,stimuli/noise_images/useless/noise5.jpg
7,Useless,6,The excruciating demands seemed useless.,useless,32,39,stimuli/sentence_images/useless/sentence6.jpg,stimuli/noise_images/useless/noise6.jpg
8,Beer,1,Guys tend to like beer more than wine.,beer,18,22,stimuli/sentence_images/beer/sentence1.jpg,stimuli/noise_images/beer/noise1.jpg
8,Beer,2,He can grab a bottle of beer from here.,beer,24,28,stimuli/sentence_images/beer/sentence2.jpg,stimuli/noise_images/beer/noise2.jpg
8,Beer,3,The bartender served her a cold beer.,beer,32,36,stimuli/sentence_images/beer/sentence3.jpg,stimuli/noise_images/beer/noise3.jpg
